Melding;David;William;Sofus;Gustav;Johan;Samuel;Maria
9g,3u;-1.60;0.53;0.00;0.53;0.53;0.00;0.00
9v3,1o;2.70;-2.70;0.00;-2.70;0.00;2.70;0.00
Rsol;-0.20;-0.20;0.00;0.60;0.00;-0.20;0.00
10,1u;0.60;0.60;0.00;-0.60;0.00;-0.60;0.00
Rsol;0.60;-0.20;0.00;-0.20;0.00;-0.20;0.00
10,1o;-0.90;0.90;0.00;0.90;0.00;-0.90;0.00
Rsol;-0.60;0.00;0.00;0.20;0.20;0.20;0.00
9h,2o;1.00;0.00;0.00;-1.00;-1.00;1.00;0.00
9h,1u;0.50;0.00;0.00;-0.50;0.50;-0.50;0.00
9h,2o;-1.00;0.00;0.00;1.00;-1.00;1.00;0.00
9v1,2o;1.20;-1.20;0.00;0.00;1.20;-1.20;0.00
10,1o;0.90;0.90;0.00;0.00;-0.90;-0.90;0.00
Rsol;-0.60;0.20;0.00;0.20;0.00;0.20;0.00
10,3o;1.50;1.50;0.00;-1.50;0.00;-1.50;0.00
Sol;0.10;0.00;0.00;0.10;0.10;-0.30;0.00
10g;0.80;0.80;0.00;-0.80;-0.80;0.00;0.00
10,1u;0.40;0.40;0.00;-1.20;0.40;0.00;0.00
9h,4u;1.00;-3.00;0.00;1.00;1.00;0.00;0.00
9g,1o;0.60;-0.60;0.00;0.60;-0.60;0.00;0.00
10,2o;1.20;-1.20;0.00;-1.20;1.20;0.00;0.00
9h,3u;-1.00;1.00;0.00;-1.00;1.00;0.00;0.00
Sol;-0.30;0.10;0.00;0.10;0.10;0.00;0.00
9h,2o;-1.00;1.00;-1.00;1.00;0.00;0.00;0.00
9g,3o;1.00;1.00;0.00;-1.00;-1.00;0.00;0.00
Rsol;0.20;0.20;0.00;-0.60;0.20;0.00;0.00
9,1o;-0.45;0.45;0.00;-0.45;0.45;0.00;0.00
9h,1u;0.50;0.50;0.00;-0.50;0.00;-0.50;0.00
10,1o;0.90;0.90;0.00;-0.90;0.00;-0.90;0.00
Rsol;-0.60;0.20;0.00;0.20;0.00;0.20;0.00
9g,2o;-0.80;-0.80;0.00;0.80;0.00;0.80;0.00
10g,3u;1.20;-1.20;0.00;1.20;0.00;-1.20;0.00
9g,2o;-0.80;-0.80;0.00;0.80;0.00;0.80;0.00
9h,2u;0.75;-0.75;0.00;0.75;0.00;-0.75;0.00
Rsol;0.20;0.20;0.00;-0.60;0.00;0.20;0.00
10g;-0.80;0.80;0.00;-0.80;0.00;0.80;0.00
9h,1o;0.75;-0.75;0.00;-0.75;0.00;0.75;0.00
9v,2u;0.90;-0.90;0.00;0.90;0.00;-0.90;0.00
11;-1.20;-1.20;0.00;1.20;1.20;0.00;0.00
10;-0.90;0.90;0.00;0.90;-0.90;0.00;0.00
9g,2o;0.80;-0.80;0.00;-0.80;0.80;0.00;0.00
9;-0.30;0.00;0.00;0.30;0.30;-0.30;0.00
9v2,3o;1.50;0.00;0.00;1.50;-1.50;-1.50;0.00
Rsol;0.20;0.00;0.00;-0.60;0.20;0.20;0.00
10h;-1.00;-1.00;1.00;1.00;0.00;0.00;0.00
10,1o;-0.90;-0.90;0.00;0.90;0.00;0.90;0.00
9h,1o;-0.75;-0.75;0.00;0.75;0.00;0.75;0.00
Sol;-0.10;0.00;0.00;0.30;-0.10;-0.10;0.00
9;0.00;-0.30;0.00;0.00;0.30;0.30;0.00
9h,3u;0.00;1.00;0.00;-1.00;-1.00;1.00;0.00
10g,5u;0.00;-2.40;0.00;2.40;2.40;-2.40;0.00
10g,1u;0.00;-0.80;0.00;-0.80;0.80;0.80;0.00
9v,2u;0.00;0.90;0.00;-0.90;0.90;-0.90;0.00
9g,5u;1.20;-1.20;0.00;0.00;1.20;-1.20;0.00
10,1o;-0.90;0.90;0.00;0.90;0.00;-0.90;0.00
Rsol;-0.20;-0.20;0.00;0.60;-0.20;0.00;0.00
9,2o;0.60;0.60;0.00;-0.60;-0.60;0.00;0.00
9h,2o;1.00;1.00;0.00;-1.00;-1.00;0.00;0.00
10,1u;0.60;0.00;-0.60;-0.60;0.00;0.00;0.60
10;0.60;0.00;-0.60;0.60;0.00;0.00;-0.60
Sol;-0.10;0.00;-0.10;0.00;0.00;0.30;-0.10
9h;-0.33;0.00;1.00;-0.33;0.00;0.00;-0.33
9,2o;-0.60;0.00;-0.60;0.60;0.00;0.00;0.60
Sol;0.00;-0.10;0.00;-0.10;-0.10;0.30;0.00
9v2;0.00;-1.20;0.00;-1.20;0.00;1.20;1.20
10g;0.00;0.80;0.00;0.80;0.00;-0.80;-0.80
9h,3u;0.00;-1.00;0.00;1.00;0.00;-1.00;1.00
9g;0.00;0.40;0.00;0.40;0.00;-0.40;-0.40
10,2u;-0.90;0.90;0.90;-0.90;0.00;0.00;0.00
9h,1u;-0.50;-0.50;0.50;0.50;0.00;0.00;0.00
Sol;-0.10;-0.10;-0.10;0.30;0.00;0.00;0.00
9h;0.50;-0.50;0.50;-0.50;0.00;0.00;0.00
9h,1o;0.75;-0.75;0.00;0.75;-0.75;0.00;0.00
9g,1o;0.6;-0.6;0.00;0.6;-0.6;0.00;0.00
10h,1o;-1.5;-1.5;0.00;1.5;1.5;0.00;0.00
11g,2o;3.2;3.2;0.00;-3.2;-3.2;0.00;0.00
9,1u;-0.3;0.00;0.00;0.3;0.3;-0.3;0.00
9h;-0.5;0.00;0.00;0.5;0.5;-0.5;0.00
9h,3o;1.25;0.00;0.00;1.25;-1.25;-1.25;0.00
Rsol;-0.6;0.00;0.00;0.2;0.2;0.2;0.00
9h;-0.5;0.00;0.00;0.5;0.5;-0.5;0.00
9g,2o;0.8;0.00;0.00;-0.8;-0.8;0.8;0.00
9g,2o;-0.8;0.00;0.00;0.8;-0.8;0.8;0.00
9g,2o;0.8;0.00;0.00;-0.8;0.8;-0.8;0.00
9h,4o;-1.5;0.00;0.00;-1.5;1.5;1.5;0.00